generation_id,min_fitness,max_fitness,avg_fitness,stddev_fitness,median_fitness,avg_trendline,min_trendline,max_trendline,median_trendline,stddev_trendline
1,0.73,153.98,30.48,45.57,13.78,12.25,0.68,145.7,3.57,28.1
2,0.69,152.03,17.54,30.55,12.21,12.19,0.68,145.55,3.53,28.01
3,0.69,152.31,13.58,29.8,7.9,12.12,0.68,145.4,3.49,27.92
4,0.7,190.93,14.51,34.01,8.42,12.05,0.68,145.24,3.45,27.84
5,0.69,152.07,10.99,21.69,9.44,11.99,0.68,145.09,3.41,27.75
6,0.7,192.33,15.29,38.54,2.62,11.92,0.68,144.94,3.37,27.66
7,0.67,153.1,9.43,22.12,3.72,11.85,0.68,144.78,3.33,27.58
8,0.66,188.62,13.49,33.92,2.74,11.78,0.68,144.63,3.29,27.49
9,0.66,185.67,16.29,39.18,3.65,11.72,0.68,144.48,3.25,27.4
10,0.68,150.98,9.1,21.87,3.6,11.65,0.68,144.32,3.21,27.32
11,0.68,188.45,10.31,27,2.8,11.58,0.68,144.17,3.17,27.23
12,0.68,225.39,14.94,43.28,1.24,11.51,0.68,144.02,3.13,27.14
13,0.72,18.58,4.9,5.59,1.33,11.45,0.68,143.86,3.09,27.06
14,0.68,151.97,18.69,41.08,3.17,11.38,0.68,143.71,3.05,26.97
15,0.66,225.81,13.46,38.23,2.12,11.31,0.68,143.56,3.01,26.88
16,0.69,25.99,4.16,5.65,0.98,11.24,0.68,143.4,2.97,26.8
17,0.7,227.68,15.22,43.5,0.95,11.18,0.68,143.25,2.93,26.71
18,0.69,200.24,11.45,35.37,1.3,11.11,0.68,143.1,2.89,26.62
19,0.7,150.9,10.24,28.37,0.97,11.04,0.68,142.94,2.85,26.54
20,0.65,25.49,4.43,6.33,0.92,10.98,0.68,142.79,2.81,26.45
21,0.69,151.87,9.98,22.87,1.01,10.91,0.68,142.64,2.77,26.36
22,0.68,22.08,5.96,6.35,1.42,10.84,0.68,142.48,2.73,26.28
23,0.69,151.29,13.82,36.5,1.02,10.77,0.68,142.33,2.69,26.19
24,0.67,151.62,9.2,23.6,1.29,10.71,0.68,142.18,2.65,26.1
25,0.67,101.3,7.18,15.08,1.59,10.64,0.68,142.02,2.61,26.02
26,0.69,151.49,11.89,30.48,1.12,10.57,0.68,141.87,2.57,25.93
27,0.68,186.3,10.35,33.96,0.87,10.5,0.68,141.72,2.53,25.84
28,0.69,151.32,11.03,29.98,1.11,10.44,0.68,141.57,2.49,25.76
29,0.67,36.06,7.33,7.91,3.43,10.37,0.68,141.41,2.45,25.67
30,0.65,14.58,3.68,4.58,0.84,10.3,0.68,141.26,2.41,25.58
31,0.69,152,10.45,30.63,0.89,10.23,0.68,141.11,2.37,25.5
32,0.67,150.8,7.01,21.8,0.97,10.17,0.68,140.95,2.33,25.41
33,0.67,153.01,13.08,36.59,1.15,10.1,0.68,140.8,2.29,25.32
34,0.69,188.62,11.26,34.17,1.02,10.03,0.68,140.65,2.25,25.24
35,0.7,151.6,7.94,22.17,1.06,9.97,0.68,140.49,2.21,25.15
36,0.67,220.8,12.2,37.76,1.1,9.9,0.68,140.34,2.17,25.06
37,0.68,221.02,11.22,37.93,0.85,9.83,0.68,140.19,2.13,24.98
38,0.68,151.92,9.18,22.08,1.95,9.76,0.68,140.03,2.1,24.89
39,0.66,151.96,11.51,30.43,0.94,9.7,0.68,139.88,2.06,24.8
40,0.66,115.4,6.13,17.07,0.86,9.63,0.68,139.73,2.02,24.72
41,0.69,151.87,7.97,22.14,1.08,9.56,0.68,139.57,1.98,24.63
42,0.66,220.42,8.62,31.82,0.91,9.49,0.68,139.42,1.94,24.54
43,0.69,19.19,4.16,5.45,0.88,9.43,0.68,139.27,1.9,24.46
44,0.66,168.93,11.22,32.81,0.82,9.36,0.68,139.11,1.86,24.37
45,0.68,15.9,3.61,4.73,0.83,9.29,0.68,138.96,1.82,24.28
46,0.68,21.39,5.02,5.82,1.15,9.22,0.68,138.81,1.78,24.2
47,0.69,194.42,8.44,28.12,0.95,9.16,0.68,138.65,1.74,24.11
48,0.68,21.22,4.14,5.45,0.93,9.09,0.68,138.5,1.7,24.02
49,0.67,151.99,7.11,22.66,0.82,9.02,0.68,138.35,1.66,23.94
50,0.67,13.95,2.41,3.6,0.81,8.96,0.68,138.19,1.62,23.85
51,0.66,190.71,7.3,27.5,0.84,8.89,0.68,138.04,1.58,23.76
52,0.67,21.64,3.63,5.17,0.85,8.82,0.68,137.89,1.54,23.68
53,0.68,45.26,6.44,7.99,1.29,8.75,0.68,137.73,1.5,23.59
54,0.69,151.9,9.74,30.46,0.85,8.69,0.68,137.58,1.46,23.5
55,0.67,151.67,6.67,21.93,1.02,8.62,0.68,137.43,1.42,23.42
56,0.69,151.36,6.34,21.98,0.87,8.55,0.68,137.27,1.38,23.33
57,0.67,151.57,11.32,30.41,1.04,8.48,0.68,137.12,1.34,23.24
58,0.68,152.44,9.69,30.38,0.81,8.42,0.68,136.97,1.3,23.16
59,0.69,223.99,9.56,32.14,0.96,8.35,0.68,136.81,1.26,23.07
60,0.66,221.25,9.29,31.65,1.49,8.28,0.68,136.66,1.22,22.98
61,0.67,151.92,10.76,30.69,0.82,8.21,0.68,136.51,1.18,22.9
62,0.67,20.43,4.05,5.22,0.82,8.15,0.68,136.35,1.14,22.81
63,0.68,150.92,6.7,21.91,0.83,8.08,0.68,136.2,1.1,22.72
64,0.67,151.58,6.37,21.93,0.86,8.01,0.68,136.05,1.06,22.64
65,0.68,195.27,9.36,28.36,0.98,7.95,0.68,135.89,1.02,22.55
66,0.66,200.08,8,29.01,0.87,7.88,0.68,135.74,0.98,22.46
67,0.66,151.02,8.9,30.26,0.82,7.81,0.68,135.59,0.94,22.38
68,0.66,50.94,4.05,8.05,0.91,7.74,0.68,135.43,0.9,22.29
69,0.68,150.73,7.54,21.82,0.89,7.68,0.68,135.28,0.86,22.21
70,0.67,195.74,9.08,28.84,0.89,7.61,0.68,135.13,0.82,22.12
71,0.67,228.26,17.78,47.9,0.94,7.54,0.68,134.97,0.78,22.03
72,0.65,151.43,7.25,23.16,0.76,7.47,0.68,134.82,0.74,21.95
73,0.67,151.36,11.4,29.51,1.38,7.41,0.68,134.67,0.7,21.86
74,0.68,42.26,5.07,9.2,0.9,7.34,0.68,134.51,0.66,21.77
75,0.66,198.24,11.8,35.39,0.94,7.27,0.68,134.36,0.62,21.69
76,0.69,16.54,3.9,4.84,0.86,7.2,0.68,134.21,0.58,21.6
77,0.66,151.36,7.78,22.83,0.87,7.14,0.68,134.05,0.54,21.51
78,0.66,199.21,7.71,28.61,0.95,7.07,0.68,133.9,0.5,21.43
79,0.68,151.89,7.43,21.93,0.96,7,0.68,133.75,0.46,21.34
80,0.67,150.9,7.36,22.66,0.88,6.94,0.68,133.59,0.42,21.25
81,0.69,18.63,4.16,5.35,0.82,6.87,0.68,133.44,0.38,21.17
82,0.67,151.84,8.41,23.3,0.81,6.8,0.68,133.29,0.34,21.08
83,0.68,152.38,6.8,22.03,0.87,6.73,0.67,133.13,0.3,20.99
84,0.69,18.46,3.25,4.96,0.82,6.67,0.67,132.98,0.26,20.91
85,0.68,151.16,6.12,21.8,0.88,6.6,0.67,132.83,0.22,20.82
86,0.66,151.13,6.7,21.85,0.94,6.53,0.67,132.68,0.18,20.73
87,0.68,151.59,8.67,22.7,0.84,6.46,0.67,132.52,0.14,20.65
88,0.68,200.5,10.44,35.54,0.87,6.4,0.67,132.37,0.1,20.56
89,0.7,152.12,11.31,30.3,0.92,6.33,0.67,132.22,0.06,20.47
90,0.69,150.92,6.5,21.78,0.89,6.26,0.67,132.06,0.02,20.39
91,0.66,49.73,4.85,8.26,0.89,6.19,0.67,131.91,-0.02,20.3
92,0.69,152.08,5.87,22.33,0.89,6.13,0.67,131.76,-0.06,20.21
93,0.69,152.1,8.35,22.19,1.01,6.06,0.67,131.6,-0.099,20.13
94,0.68,151.42,7.16,22.19,0.94,5.99,0.67,131.45,-0.14,20.04
95,0.69,15.73,3.36,4.32,0.9,5.93,0.67,131.3,-0.18,19.95
96,0.7,225.37,12.16,38.4,0.9,5.86,0.67,131.14,-0.22,19.87
97,0.67,185.76,7.21,26.72,0.8,5.79,0.67,130.99,-0.26,19.78
